# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\Sachi\Documents\Quartus PROCESSOR modules\Processor Phase 2\Processor Phase 2\PINS_PHASE5.csv
# Generated on: Fri Oct 23 18:27:57 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
bus_out[7],Output,PIN_G21,7,B7_N1,PIN_AF9,,,,,,
bus_out[6],Output,PIN_G22,7,B7_N2,PIN_AD14,,,,,,
bus_out[5],Output,PIN_G20,7,B7_N1,PIN_Y5,,,,,,
bus_out[4],Output,PIN_H21,7,B7_N2,PIN_AA13,,,,,,
bus_out[3],Output,PIN_E24,7,B7_N1,PIN_AF17,,,,,,
bus_out[2],Output,PIN_E25,7,B7_N1,PIN_J24,,,,,,
bus_out[1],Output,PIN_E22,7,B7_N0,PIN_J23,,,,,,
bus_out[0],Output,PIN_E21,7,B7_N0,PIN_K22,,,,,,
clk,Input,PIN_AB28,5,B5_N1,PIN_Y2,,,,,,
clk1,Input,PIN_AC28,5,B5_N2,PIN_Y1,,,,,,
clk2,Input,PIN_AG14,3,B3_N0,PIN_J1,,,,,,
ctrlsig_in[9],Input,PIN_Y24,5,B5_N2,PIN_K26,,,,,,
ctrlsig_in[8],Input,PIN_AA22,5,B5_N2,PIN_D23,,,,,,
ctrlsig_in[7],Input,PIN_AA23,5,B5_N2,PIN_H25,,,,,,
ctrlsig_in[6],Input,PIN_AA24,5,B5_N2,PIN_H26,,,,,,
ctrlsig_in[5],Input,PIN_AB23,5,B5_N2,PIN_G24,,,,,,
ctrlsig_in[4],Input,PIN_AB24,5,B5_N2,PIN_D24,,,,,,
ctrlsig_in[3],Input,PIN_AC24,5,B5_N2,PIN_E27,,,,,,
ctrlsig_in[2],Input,PIN_AB25,5,B5_N1,PIN_G23,,,,,,
ctrlsig_in[1],Input,PIN_AC25,5,B5_N2,PIN_K25,,,,,,
ctrlsig_in[0],Input,PIN_AB26,5,B5_N1,PIN_L25,,,,,,
ctrlsig_out[9],Output,PIN_G17,7,B7_N1,PIN_L22,,,,,,
ctrlsig_out[8],Output,PIN_J17,7,B7_N2,PIN_D25,,,,,,
ctrlsig_out[7],Output,PIN_H19,7,B7_N2,PIN_H24,,,,,,
ctrlsig_out[6],Output,PIN_J19,7,B7_N2,PIN_H23,,,,,,
ctrlsig_out[5],Output,PIN_E18,7,B7_N1,PIN_K21,,,,,,
ctrlsig_out[4],Output,PIN_F18,7,B7_N1,PIN_C23,,,,,,
ctrlsig_out[3],Output,PIN_F21,7,B7_N0,PIN_G26,,,,,,
ctrlsig_out[2],Output,PIN_E19,7,B7_N0,PIN_G25,,,,,,
ctrlsig_out[1],Output,PIN_F19,7,B7_N0,PIN_E26,,,,,,
ctrlsig_out[0],Output,PIN_G19,7,B7_N2,PIN_H22,,,,,,
datain[3],Input,PIN_AC26,5,B5_N2,PIN_AB20,,,,,,
datain[2],Input,PIN_AB27,5,B5_N1,PIN_F21,,,,,,
datain[1],Input,PIN_AD27,5,B5_N2,PIN_F22,,,,,,
datain[0],Input,PIN_AC27,5,B5_N2,PIN_B26,,,,,,
segmentA,Output,PIN_G18,7,B7_N2,PIN_C27,,,,,,
segmentA1,Output,PIN_M24,6,B6_N2,PIN_J25,,,,,,
segmentA2,Output,PIN_AA25,5,B5_N1,PIN_E28,,,,,,
segmentA3,Output,PIN_V21,5,B5_N1,PIN_F25,,,,,,
segmentA4,Output,PIN_AB19,4,B4_N0,PIN_G27,,,,,,
segmentB,Output,PIN_F22,7,B7_N0,PIN_AC15,,,,,,
segmentB1,Output,PIN_Y22,5,B5_N0,PIN_R27,,,,,,
segmentB2,Output,PIN_AA26,5,B5_N1,PIN_AH17,,,,,,
segmentB3,Output,PIN_U21,5,B5_N0,PIN_F26,,,,,,
segmentB4,Output,PIN_AA19,4,B4_N0,PIN_G28,,,,,,
segmentC,Output,PIN_E17,7,B7_N2,PIN_AH18,,,,,,
segmentC1,Output,PIN_W21,5,B5_N1,PIN_B10,,,,,,
segmentC2,Output,PIN_Y25,5,B5_N1,PIN_B17,,,,,,
segmentC3,Output,PIN_AB20,4,B4_N0,PIN_F24,,,,,,
segmentC4,Output,PIN_AG21,4,B4_N2,PIN_A23,,,,,,
segmentD,Output,PIN_L21,6,B6_N0,PIN_D27,,,,,,
segmentD1,Output,PIN_W22,5,B5_N0,PIN_A26,,,,,,
segmentD2,Output,PIN_W26,5,B5_N1,PIN_L21,,,,,,
segmentD3,Output,PIN_AA21,4,B4_N0,PIN_D26,,,,,,
segmentD4,Output,PIN_AH21,4,B4_N2,PIN_B23,,,,,,
segmentE,Output,PIN_L25,6,B6_N1,PIN_E22,,,,,,
segmentE1,Output,PIN_W25,5,B5_N1,PIN_A25,,,,,,
segmentE2,Output,PIN_Y26,5,B5_N1,PIN_F28,,,,,,
segmentE3,Output,PIN_AD24,4,B4_N0,PIN_C26,,,,,,
segmentE4,Output,PIN_AE19,4,B4_N1,PIN_M21,,,,,,
segmentF,Output,PIN_J22,6,B6_N0,PIN_F27,,,,,,
segmentF1,Output,PIN_U23,5,B5_N1,PIN_B25,,,,,,
segmentF2,Output,PIN_W27,5,B5_N1,PIN_D22,,,,,,
segmentF3,Output,PIN_AF23,4,B4_N0,PIN_J22,,,,,,
segmentF4,Output,PIN_AF19,4,B4_N1,PIN_E21,,,,,,
segmentG,Output,PIN_H22,6,B6_N0,PIN_A18,,,,,,
segmentG1,Output,PIN_U24,5,B5_N0,PIN_G15,,,,,,
segmentG2,Output,PIN_W28,5,B5_N1,PIN_G8,,,,,,
segmentG3,Output,PIN_Y19,4,B4_N0,PIN_D28,,,,,,
segmentG4,Output,PIN_AE18,4,B4_N2,PIN_C25,,,,,,
