# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\Sachi\Documents\Quartus PROCESSOR modules\Processor Phase 2\Processor Phase 2\pins_phase5_edited.csv
# Generated on: Fri Oct 23 19:38:15 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
bus_out[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
bus_out[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
bus_out[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
bus_out[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
bus_out[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
bus_out[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
bus_out[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
bus_out[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
clk,Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
clk1,Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
clk2,Input,PIN_AG14,3,B3_N0,PIN_AG14,2.5 V,,,,,
col,Output,,,,PIN_V26,,,,,,
ctrlsig_in[9],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
ctrlsig_in[8],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
ctrlsig_in[7],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
ctrlsig_in[6],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
ctrlsig_in[5],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
ctrlsig_in[4],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
ctrlsig_in[3],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
ctrlsig_in[2],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
ctrlsig_in[1],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
ctrlsig_in[0],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
ctrlsig_out[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
ctrlsig_out[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
ctrlsig_out[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
ctrlsig_out[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
ctrlsig_out[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
ctrlsig_out[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
ctrlsig_out[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
ctrlsig_out[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
ctrlsig_out[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
